Дорожно-транспортные происшествия, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;9354.0;-1,3;984.0;6,4;11289.0;-4,7;8,0
Центральный федеральный округ;2446.0;1,7;245.0;стаб.;2922.0;1,5;7,7
Белгородская область;90.0;47,5;18.0;260,0;110.0;37,5;14,1
Брянская область;30.0;-34,8;8.0;14,3;35.0;-43,5;18,6
Владимирская область;107.0;-21,9;9.0;-57,1;144.0;-22,2;5,9
Воронежская область;179.0;6,5;28.0;33,3;215.0;8,6;11,5
Ивановская область;80.0;33,3;2.0;-66,7;102.0;37,8;1,9
Калужская область;70.0;9,4;2.0;стаб.;93.0;24,0;2,1
Костромская область;69.0;21,1;5.0;-16,7;88.0;29,4;5,4
Курская область;93.0;12,0;9.0;стаб.;129.0;11,2;6,5
Липецкая область;85.0;-14,1;13.0;116,7;105.0;-18,0;11,0
гор. Москва;753.0;4,9;22.0;-33,3;832.0;8,1;2,6
Московская область;291.0;-4,6;47.0;-28,8;326.0;-7,1;12,6
Орловская область;43.0;-14,0;3.0;-40,0;61.0;-1,6;4,7
Рязанская область;95.0;-12,0;21.0;110,0;135.0;3,8;13,5
Смоленская область;54.0;-20,6;8.0;14,3;68.0;-17,1;10,5
Тамбовская область;78.0;-17,0;11.0;10,0;97.0;-24,8;10,2
Тверская область;106.0;20,5;10.0;25,0;123.0;12,8;7,5
Тульская область;123.0;6,0;13.0;8,3;139.0;-16,8;8,6
Ярославская область;100.0;19,0;16.0;45,5;120.0;27,7;11,8
Северо-Западный федеральный округ;825.0;5,4;67.0;19,6;948.0;2,8;6,6
Республика Карелия;28.0;-22,2;5.0;150,0;35.0;-16,7;12,5
Республика Коми;39.0;-15,2;2.0;-66,7;51.0;-12,1;3,8
Архангельская область;30.0;-31,8;4.0;100,0;32.0;-36,0;11,1
Вологодская область;99.0;10,0;9.0;50,0;120.0;15,4;7,0
Калининградская область;88.0;39,7;11.0;175,0;91.0;37,9;10,8
Ленинградская область;107.0;-3,6;18.0;5,9;132.0;-7,0;12,0
гор. Санкт-Петербург;288.0;0,7;10.0;стаб.;312.0;-2,8;3,1
Мурманская область;34.0;6,3;0.0;-100,0;49.0;11,4;стаб.
Новгородская область;54.0;14,9;4.0;-50,0;59.0;5,4;6,3
Псковская область;53.0;89,3;4.0;100,0;61.0;56,4;6,2
Ненецкий автономный округ;5.0;100,0;0.0;-100,0;6.0;100,0;стаб.
Южный федеральный округ;1165.0;1,4;154.0;10,8;1428.0;-0,1;9,7
Республика Адыгея (Адыгея);38.0;2,7;7.0;40,0;42.0;-2,3;14,3
