произошедшие по воскресеньям, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1296.0;-16,1;159.0;-10,7;1592.0;-21,0;9,1
Центральный федеральный округ;339.0;-7,4;28.0;-45,1;424.0;-6,6;6,2
Белгородская область;13.0;44,4;1.0;-50,0;19.0;72,7;5,0
Брянская область;5.0;25,0;0.0;-100,0;8.0;100,0;стаб.
Владимирская область;16.0;-42,9;3.0;-50,0;17.0;-57,5;15,0
Воронежская область;22.0;-12,0;1.0;-50,0;26.0;стаб.;3,7
Ивановская область;10.0;-9,1;0.0;-100,0;13.0;стаб.;стаб.
Калужская область;13.0;62,5;0.0;-100,0;20.0;100,0;стаб.
Костромская область;5.0;стаб.;0.0;-100,0;6.0;50,0;стаб.
Курская область;14.0;-33,3;2.0;стаб.;27.0;-6,9;6,9
Липецкая область;12.0;-36,8;2.0;100,0;19.0;-48,6;9,5
гор. Москва;86.0;-14,0;0.0;-100,0;100.0;-9,9;стаб.
Московская область;55.0;25,0;7.0;-50,0;56.0;7,7;11,1
Орловская область;6.0;-14,3;2.0;100,0;8.0;стаб.;20,0
Рязанская область;17.0;30,8;3.0;50,0;24.0;41,2;11,1
Смоленская область;7.0;-36,4;2.0;-33,3;6.0;-50,0;25,0
Тамбовская область;15.0;7,1;1.0;стаб.;20.0;11,1;4,8
Тверская область;16.0;стаб.;2.0;стаб.;21.0;-12,5;8,7
Тульская область;17.0;-10,5;1.0;-50,0;21.0;-19,2;4,5
Ярославская область;10.0;-16,7;1.0;-75,0;13.0;8,3;7,1
Северо-Западный федеральный округ;107.0;-13,7;12.0;20,0;130.0;-7,8;8,5
Республика Карелия;4.0;-42,9;2.0;100,0;4.0;-42,9;33,3
Республика Коми;5.0;-37,5;1.0;100,0;9.0;-25,0;10,0
Архангельская область;5.0;-44,4;0.0;-100,0;5.0;-54,5;стаб.
Вологодская область;13.0;-13,3;0.0;-100,0;20.0;11,1;стаб.
Калининградская область;16.0;77,8;2.0;100,0;16.0;77,8;11,1
Ленинградская область;17.0;-22,7;3.0;стаб.;29.0;20,8;9,4
гор. Санкт-Петербург;25.0;-30,6;3.0;200,0;23.0;-42,5;11,5
Мурманская область;4.0;-50,0;0.0;-100,0;6.0;-40,0;стаб.
Новгородская область;10.0;100,0;1.0;-75,0;10.0;100,0;9,1
Псковская область;6.0;20,0;0.0;-100,0;6.0;20,0;стаб.
Ненецкий автономный округ;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Южный федеральный округ;168.0;-11,1;29.0;стаб.;213.0;-11,6;12,0
Республика Адыгея (Адыгея);4.0;-20,0;1.0;100,0;3.0;-40,0;25,0
Республика Калмыкия;9.0;80,0;2.0;-60,0;8.0;стаб.;20,0
Республика Крым;7.0;-56,3;0.0;-100,0;12.0;-45,5;стаб.
Краснодарский край;73.0;-7,6;12.0;9,1;90.0;-4,3;11,8
Астраханская область;9.0;-10,0;0.0;-100,0;11.0;-42,1;стаб.
Волгоградская область;26.0;стаб.;6.0;200,0;35.0;-7,9;14,6
Ростовская область;29.0;-27,5;8.0;стаб.;42.0;-2,3;16,0
гор. Севастополь;11.0;37,5;0.0;-100,0;12.0;стаб.;стаб.
Северо-Кавказский федеральный округ;65.0;-17,7;12.0;33,3;80.0;-30,4;13,0
Республика Дагестан;19.0;-20,8;2.0;стаб.;27.0;-38,6;6,9
Республика Ингушетия;2.0;стаб.;1.0;-50,0;1.0;100,0;50,0
Кабардино-Балкарская Республика;3.0;-57,1;0.0;-100,0;3.0;-57,1;стаб.
Карачаево-Черкесская Республика;2.0;-66,7;0.0;-100,0;2.0;-71,4;стаб.
Республика Северная Осетия-Алания;7.0;-12,5;0.0;-100,0;9.0;-25,0;стаб.
Чеченская Республика;4.0;стаб.;3.0;100,0;4.0;-20,0;42,9
Ставропольский край;28.0;стаб.;6.0;20,0;34.0;-15,0;15,0
Приволжский федеральный округ;255.0;-29,4;42.0;82,6;302.0;-40,4;12,2
Республика Башкортостан;36.0;-30,8;9.0;350,0;43.0;-39,4;17,3
Республика Марий Эл;7.0;стаб.;0.0;-100,0;7.0;-30,0;стаб.
Республика Мордовия;2.0;-80,0;1.0;100,0;3.0;-78,6;25,0
Республика Татарстан (Татарстан);25.0;-46,8;7.0;133,3;26.0;-50,9;21,2
Удмуртская Республика;23.0;283,3;2.0;100,0;26.0;160,0;7,1
Чувашская Республика - Чувашия;5.0;-54,5;2.0;100,0;4.0;-81,0;33,3
Пермский край;28.0;27,3;3.0;200,0;31.0;стаб.;8,8
Кировская область;14.0;-30,0;3.0;200,0;17.0;-26,1;15,0
Нижегородская область;39.0;-25,0;1.0;-80,0;50.0;-31,5;2,0
Оренбургская область;16.0;-44,8;2.0;-50,0;19.0;-53,7;9,5
Пензенская область;11.0;-54,2;0.0;-100,0;12.0;-62,5;стаб.
Самарская область;16.0;-48,4;0.0;-100,0;23.0;-54,0;стаб.
Саратовская область;21.0;-48,8;9.0;100,0;28.0;-55,6;24,3
Ульяновская область;12.0;33,3;3.0;100,0;13.0;-13,3;18,8
Уральский федеральный округ;102.0;-24,4;8.0;-60,0;111.0;-35,1;6,7
Курганская область;5.0;-64,3;0.0;-100,0;5.0;-77,3;стаб.
Свердловская область;39.0;11,4;2.0;-77,8;43.0;4,9;4,4
Тюменская область;28.0;-6,7;3.0;50,0;27.0;-22,9;10,0
Челябинская область;23.0;-43,9;3.0;-25,0;27.0;-49,1;10,0
Ханты-Мансийский автономный округ - Югра;4.0;-60,0;0.0;-100,0;6.0;-53,8;стаб.
Ямало-Ненецкий автономный округ;3.0;-40,0;0.0;-100,0;3.0;-57,1;стаб.
Сибирский федеральный округ;166.0;-4,6;24.0;84,6;203.0;-8,6;10,6
Республика Алтай;5.0;150,0;1.0;100,0;7.0;133,3;12,5
Республика Тыва;10.0;-9,1;3.0;200,0;15.0;-34,8;16,7
Республика Хакасия;8.0;60,0;1.0;100,0;14.0;133,3;6,7
Алтайский край;28.0;55,6;3.0;стаб.;33.0;57,1;8,3
Красноярский край;31.0;29,2;5.0;400,0;36.0;50,0;12,2
Иркутская область;13.0;-69,8;2.0;-50,0;17.0;-68,5;10,5
Кемеровская область - Кузбасс;26.0;18,2;6.0;500,0;27.0;-6,9;18,2
Новосибирская область;17.0;стаб.;2.0;-33,3;22.0;10,0;8,3
Омская область;24.0;-17,2;1.0;100,0;27.0;-30,8;3,6
Томская область;4.0;33,3;0.0;-100,0;5.0;66,7;стаб.
Дальневосточный федеральный округ;94.0;-19,0;4.0;-82,6;129.0;-20,9;3,0
Республика Бурятия;9.0;28,6;0.0;-100,0;18.0;125,0;стаб.
Республика Саха (Якутия);9.0;-30,8;1.0;-50,0;8.0;-50,0;11,1
Забайкальский край;10.0;-23,1;0.0;-100,0;12.0;-42,9;стаб.
Приморский край;23.0;-36,1;2.0;-33,3;33.0;-35,3;5,7
Камчатский край;2.0;-60,0;0.0;-100,0;2.0;-60,0;стаб.
Хабаровский край;17.0;-10,5;0.0;-100,0;26.0;стаб.;стаб.
Амурская область;14.0;-17,6;0.0;-100,0;18.0;-33,3;стаб.
Магаданская область;1.0;-66,7;0.0;-100,0;2.0;-33,3;стаб.
Сахалинская область;5.0;400,0;0.0;-100,0;7.0;133,3;стаб.
Еврейская автономная область;4.0;100,0;1.0;стаб.;3.0;стаб.;25,0
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
