произошедшие по вторникам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1457.0;12,2;145.0;13,3;1727.0;12,1;7,7
Центральный федеральный округ;393.0;19,5;47.0;135,0;480.0;27,0;8,9
Белгородская область;7.0;16,7;1.0;100,0;6.0;стаб.;14,3
Брянская область;8.0;-33,3;1.0;100,0;11.0;-45,0;8,3
Владимирская область;21.0;стаб.;1.0;стаб.;42.0;40,0;2,3
Воронежская область;35.0;75,0;9.0;350,0;48.0;128,6;15,8
Ивановская область;11.0;83,3;1.0;100,0;10.0;66,7;9,1
Калужская область;10.0;-9,1;1.0;стаб.;13.0;18,2;7,1
Костромская область;17.0;70,0;1.0;100,0;18.0;50,0;5,3
Курская область;15.0;7,1;0.0;-100,0;16.0;-5,9;стаб.
Липецкая область;12.0;стаб.;2.0;100,0;14.0;27,3;12,5
гор. Москва;117.0;11,4;6.0;20,0;134.0;22,9;4,3
Московская область;47.0;30,6;7.0;250,0;53.0;20,5;11,7
Орловская область;8.0;60,0;0.0;-100,0;13.0;62,5;стаб.
Рязанская область;17.0;стаб.;10.0;900,0;20.0;5,3;33,3
Смоленская область;6.0;-45,5;1.0;стаб.;8.0;-33,3;11,1
Тамбовская область;11.0;-21,4;1.0;стаб.;15.0;-6,3;6,3
Тверская область;18.0;63,6;4.0;100,0;21.0;40,0;16,0
Тульская область;17.0;88,9;1.0;100,0;19.0;46,2;5,0
Ярославская область;16.0;77,8;0.0;-100,0;19.0;137,5;стаб.
Северо-Западный федеральный округ;112.0;8,7;8.0;стаб.;128.0;10,3;5,9
Республика Карелия;5.0;25,0;1.0;100,0;10.0;100,0;9,1
Республика Коми;7.0;75,0;0.0;-100,0;8.0;14,3;стаб.
Архангельская область;1.0;-83,3;0.0;-100,0;1.0;-85,7;стаб.
Вологодская область;15.0;15,4;2.0;100,0;16.0;33,3;11,1
Калининградская область;12.0;33,3;2.0;100,0;11.0;стаб.;15,4
Ленинградская область;9.0;-18,2;1.0;-66,7;11.0;-21,4;8,3
гор. Санкт-Петербург;45.0;9,8;2.0;100,0;50.0;16,3;3,8
Мурманская область;4.0;стаб.;0.0;-100,0;5.0;25,0;стаб.
Новгородская область;4.0;-42,9;0.0;-100,0;5.0;-28,6;стаб.
Псковская область;9.0;125,0;0.0;-100,0;10.0;66,7;стаб.
Ненецкий автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Южный федеральный округ;169.0;9,7;21.0;16,7;200.0;13,6;9,5
Республика Адыгея (Адыгея);7.0;стаб.;1.0;100,0;9.0;-10,0;10,0
Республика Калмыкия;9.0;80,0;2.0;100,0;16.0;128,6;11,1
Республика Крым;11.0;-31,3;1.0;-50,0;12.0;-33,3;7,7
Краснодарский край;74.0;1,4;8.0;-33,3;89.0;18,7;8,2
Астраханская область;16.0;300,0;2.0;100,0;19.0;280,0;9,5
Волгоградская область;16.0;-11,1;0.0;-100,0;20.0;-9,1;стаб.
Ростовская область;31.0;29,2;7.0;250,0;28.0;-9,7;20,0
гор. Севастополь;5.0;-28,6;0.0;-100,0;7.0;-12,5;стаб.
Северо-Кавказский федеральный округ;72.0;-6,5;8.0;-42,9;96.0;5,5;7,7
Республика Дагестан;21.0;5,0;4.0;стаб.;25.0;13,6;13,8
Республика Ингушетия;4.0;100,0;0.0;-100,0;8.0;300,0;стаб.
Кабардино-Балкарская Республика;11.0;37,5;2.0;100,0;18.0;100,0;10,0
Карачаево-Черкесская Республика;5.0;25,0;1.0;100,0;9.0;50,0;10,0
