произошедшие по понедельникам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1521.0;23,0;166.0;44,3;1862.0;21,4;8,2
Центральный федеральный округ;389.0;23,1;48.0;77,8;454.0;24,4;9,6
Белгородская область;21.0;250,0;5.0;400,0;26.0;225,0;16,1
Брянская область;4.0;-33,3;3.0;100,0;2.0;-71,4;60,0
Владимирская область;20.0;25,0;0.0;-100,0;25.0;19,0;стаб.
Воронежская область;21.0;-22,2;7.0;250,0;21.0;-32,3;25,0
Ивановская область;16.0;220,0;0.0;-100,0;22.0;214,3;стаб.
Калужская область;13.0;-7,1;0.0;-100,0;17.0;стаб.;стаб.
Костромская область;9.0;стаб.;1.0;-50,0;16.0;128,6;5,9
Курская область;18.0;100,0;2.0;100,0;24.0;84,6;7,7
Липецкая область;11.0;-35,3;0.0;-100,0;16.0;-30,4;стаб.
гор. Москва;120.0;18,8;5.0;стаб.;132.0;20,0;3,6
Московская область;38.0;-13,6;11.0;10,0;40.0;-20,0;21,6
Орловская область;5.0;66,7;1.0;100,0;7.0;133,3;12,5
Рязанская область;15.0;36,4;1.0;стаб.;18.0;38,5;5,3
Смоленская область;9.0;28,6;3.0;200,0;7.0;16,7;30,0
Тамбовская область;14.0;-6,7;0.0;-100,0;17.0;-10,5;стаб.
Тверская область;21.0;200,0;1.0;стаб.;22.0;214,3;4,3
Тульская область;18.0;100,0;1.0;100,0;22.0;100,0;4,3
Ярославская область;16.0;60,0;7.0;100,0;20.0;66,7;25,9
Северо-Западный федеральный округ;154.0;75,0;9.0;28,6;176.0;67,6;4,9
Республика Карелия;6.0;200,0;1.0;стаб.;6.0;50,0;14,3
Республика Коми;8.0;60,0;0.0;-100,0;14.0;180,0;стаб.
Архангельская область;3.0;стаб.;0.0;-100,0;3.0;стаб.;стаб.
Вологодская область;16.0;77,8;3.0;200,0;21.0;162,5;12,5
Калининградская область;12.0;20,0;0.0;-100,0;15.0;36,4;стаб.
Ленинградская область;22.0;144,4;4.0;100,0;23.0;91,7;14,8
гор. Санкт-Петербург;65.0;58,5;0.0;-100,0;69.0;40,8;стаб.
Мурманская область;7.0;250,0;0.0;-100,0;10.0;42,9;стаб.
Новгородская область;6.0;-14,3;1.0;стаб.;5.0;-16,7;16,7
Псковская область;9.0;100,0;0.0;-100,0;10.0;100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;196.0;27,3;26.0;52,9;238.0;25,3;9,8
Республика Адыгея (Адыгея);7.0;250,0;1.0;стаб.;7.0;250,0;12,5
Республика Калмыкия;5.0;-50,0;0.0;-100,0;6.0;-62,5;стаб.
Республика Крым;11.0;-31,3;1.0;-75,0;16.0;-30,4;5,9
Краснодарский край;79.0;27,4;11.0;120,0;100.0;28,2;9,9
Астраханская область;6.0;-14,3;0.0;-100,0;11.0;83,3;стаб.
