произошедшие по пятницам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1345.0;-1,0;133.0;23,1;1621.0;-3,9;7,6
Центральный федеральный округ;346.0;1,2;29.0;-6,5;384.0;-3,3;7,0
Белгородская область;15.0;66,7;6.0;100,0;15.0;15,4;28,6
Брянская область;4.0;-33,3;0.0;-100,0;5.0;25,0;стаб.
Владимирская область;13.0;-23,5;0.0;-100,0;13.0;-40,9;стаб.
Воронежская область;23.0;-4,2;4.0;100,0;25.0;-21,9;13,8
Ивановская область;12.0;71,4;0.0;-100,0;14.0;100,0;стаб.
Калужская область;10.0;150,0;1.0;100,0;12.0;71,4;7,7
Костромская область;9.0;-10,0;1.0;-50,0;13.0;18,2;7,1
Курская область;12.0;140,0;0.0;-100,0;14.0;133,3;стаб.
Липецкая область;11.0;10,0;2.0;100,0;14.0;27,3;12,5
гор. Москва;115.0;12,7;3.0;стаб.;122.0;15,1;2,4
Московская область;45.0;9,8;3.0;-66,7;54.0;14,9;5,3
Орловская область;6.0;-25,0;0.0;-100,0;8.0;-33,3;стаб.
Рязанская область;13.0;стаб.;1.0;стаб.;15.0;25,0;6,3
Смоленская область;9.0;-40,0;1.0;100,0;9.0;-50,0;10,0
Тамбовская область;7.0;-53,3;1.0;-50,0;6.0;-70,0;14,3
Тверская область;15.0;-11,8;1.0;стаб.;16.0;-23,8;5,9
Тульская область;13.0;-48,0;3.0;-40,0;13.0;-56,7;18,8
Ярославская область;14.0;стаб.;2.0;100,0;16.0;-11,1;11,1
Северо-Западный федеральный округ;126.0;6,8;14.0;100,0;150.0;4,9;8,5
Республика Карелия;3.0;-62,5;1.0;100,0;3.0;-70,0;25,0
Республика Коми;4.0;-33,3;0.0;-100,0;4.0;-42,9;стаб.
Архангельская область;3.0;-50,0;0.0;-100,0;3.0;-62,5;стаб.
Вологодская область;20.0;150,0;4.0;100,0;23.0;130,0;14,8
Калининградская область;8.0;стаб.;0.0;-100,0;8.0;стаб.;стаб.
Ленинградская область;23.0;21,1;5.0;66,7;28.0;47,4;15,2
гор. Санкт-Петербург;42.0;-4,5;1.0;-66,7;55.0;22,2;1,8
Мурманская область;4.0;стаб.;0.0;-100,0;4.0;-20,0;стаб.
Новгородская область;11.0;10,0;1.0;стаб.;13.0;-27,8;7,1
Псковская область;7.0;40,0;2.0;100,0;8.0;-38,5;20,0
Ненецкий автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Южный федеральный округ;174.0;-0,6;17.0;-19,0;224.0;7,2;7,1
Республика Адыгея (Адыгея);4.0;-42,9;0.0;-100,0;4.0;-60,0;стаб.
Республика Калмыкия;8.0;166,7;1.0;100,0;13.0;333,3;7,1
Республика Крым;16.0;-33,3;2.0;-60,0;19.0;-38,7;9,5
Краснодарский край;65.0;стаб.;8.0;-11,1;73.0;-5,2;9,9
Астраханская область;11.0;37,5;0.0;-100,0;11.0;22,2;стаб.
Волгоградская область;28.0;-15,2;1.0;стаб.;38.0;-2,6;2,6
Ростовская область;31.0;14,8;4.0;33,3;49.0;58,1;7,5
гор. Севастополь;11.0;37,5;1.0;стаб.;17.0;88,9;5,6
Северо-Кавказский федеральный округ;69.0;-11,5;9.0;12,5;90.0;-22,4;9,1
Республика Дагестан;18.0;-25,0;1.0;-66,7;35.0;-5,4;2,8
Республика Ингушетия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Кабардино-Балкарская Республика;8.0;60,0;0.0;-100,0;10.0;100,0;стаб.
Карачаево-Черкесская Республика;5.0;стаб.;2.0;100,0;5.0;стаб.;28,6
Республика Северная Осетия-Алания;12.0;9,1;2.0;100,0;12.0;-40,0;14,3
Чеченская Республика;5.0;100,0;2.0;100,0;6.0;100,0;25,0
Ставропольский край;21.0;-32,3;2.0;100,0;22.0;-52,2;8,3
Приволжский федеральный округ;259.0;-5,8;36.0;176,9;321.0;-5,9;10,1
Республика Башкортостан;28.0;-24,3;9.0;100,0;35.0;-25,5;20,5
Республика Марий Эл;3.0;стаб.;1.0;100,0;3.0;-25,0;25,0
Республика Мордовия;13.0;160,0;1.0;100,0;15.0;200,0;6,3
Республика Татарстан (Татарстан);20.0;-51,2;5.0;150,0;18.0;-66,7;21,7
Удмуртская Республика;23.0;91,7;3.0;стаб.;30.0;172,7;9,1
Чувашская Республика - Чувашия;4.0;33,3;0.0;-100,0;7.0;133,3;стаб.
Пермский край;19.0;5,6;4.0;300,0;20.0;-4,8;16,7
Кировская область;13.0;-38,1;1.0;100,0;16.0;-30,4;5,9
Нижегородская область;48.0;-5,9;4.0;300,0;52.0;-14,8;7,1
Оренбургская область;13.0;30,0;0.0;-100,0;15.0;7,1;стаб.
Пензенская область;19.0;90,0;1.0;100,0;25.0;31,6;3,8
Самарская область;23.0;-20,7;0.0;-100,0;31.0;6,9;стаб.
Саратовская область;24.0;4,3;6.0;100,0;31.0;3,3;16,2
Ульяновская область;9.0;-25,0;1.0;стаб.;23.0;15,0;4,2
Уральский федеральный округ;123.0;6,0;10.0;42,9;139.0;-19,2;6,7
Курганская область;8.0;-27,3;1.0;стаб.;8.0;-65,2;11,1
Свердловская область;40.0;48,1;7.0;75,0;44.0;-4,3;13,7
Тюменская область;24.0;-22,6;2.0;100,0;28.0;-26,3;6,7
Челябинская область;39.0;8,3;0.0;-100,0;45.0;-10,0;стаб.
Ханты-Мансийский автономный округ - Югра;11.0;10,0;0.0;-100,0;12.0;-7,7;стаб.
Ямало-Ненецкий автономный округ;1.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Сибирский федеральный округ;157.0;-1,3;10.0;-28,6;198.0;2,6;4,8
Республика Алтай;7.0;250,0;0.0;-100,0;10.0;900,0;стаб.
Республика Тыва;8.0;100,0;0.0;-100,0;9.0;-35,7;стаб.
Республика Хакасия;4.0;-50,0;0.0;-100,0;9.0;-18,2;стаб.
Алтайский край;31.0;121,4;0.0;-100,0;45.0;200,0;стаб.
Красноярский край;17.0;-48,5;0.0;-100,0;19.0;-54,8;стаб.
Иркутская область;19.0;18,8;1.0;100,0;21.0;31,3;4,5
Кемеровская область - Кузбасс;25.0;56,3;3.0;200,0;31.0;72,2;8,8
Новосибирская область;26.0;-7,1;6.0;стаб.;30.0;-11,8;16,7
Омская область;17.0;-45,2;0.0;-100,0;21.0;-40,0;стаб.
Томская область;3.0;-57,1;0.0;-100,0;3.0;-57,1;стаб.
Дальневосточный федеральный округ;91.0;-5,2;8.0;14,3;115.0;-0,9;6,5
Республика Бурятия;7.0;-30,0;0.0;-100,0;8.0;-20,0;стаб.
Республика Саха (Якутия);10.0;11,1;1.0;-50,0;11.0;-15,4;8,3
Забайкальский край;11.0;-8,3;2.0;100,0;12.0;-7,7;14,3
