произошедшие по средам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1200.0;-4,2;107.0;-0,9;1428.0;-7,5;7,0
Центральный федеральный округ;328.0;-1,5;27.0;-3,6;390.0;-3,5;6,5
Белгородская область;8.0;-11,1;0.0;-100,0;13.0;-7,1;стаб.
Брянская область;3.0;-62,5;3.0;стаб.;2.0;-80,0;60,0
Владимирская область;11.0;-42,1;2.0;-33,3;11.0;-47,6;15,4
Воронежская область;29.0;52,6;3.0;-40,0;37.0;68,2;7,5
Ивановская область;13.0;160,0;1.0;100,0;16.0;100,0;5,9
Калужская область;9.0;-25,0;0.0;-100,0;14.0;-6,7;стаб.
Костромская область;9.0;50,0;0.0;-100,0;13.0;18,2;стаб.
Курская область;11.0;-26,7;2.0;стаб.;15.0;-21,1;11,8
Липецкая область;10.0;-41,2;2.0;100,0;8.0;-63,6;20,0
гор. Москва;122.0;18,4;3.0;50,0;136.0;22,5;2,2
Московская область;31.0;-3,1;2.0;-50,0;32.0;-13,5;5,9
Орловская область;7.0;-41,7;0.0;-100,0;10.0;-16,7;стаб.
Рязанская область;9.0;-25,0;1.0;стаб.;21.0;61,5;4,5
Смоленская область;5.0;-28,6;0.0;-100,0;6.0;-40,0;стаб.
Тамбовская область;7.0;-50,0;2.0;стаб.;8.0;-63,6;20,0
Тверская область;14.0;7,7;0.0;-100,0;19.0;46,2;стаб.
Тульская область;12.0;-20,0;3.0;50,0;11.0;-62,1;21,4
Ярославская область;18.0;20,0;3.0;100,0;18.0;20,0;14,3
Северо-Западный федеральный округ;120.0;1,7;7.0;-30,0;129.0;-3,7;5,1
Республика Карелия;4.0;стаб.;0.0;-100,0;4.0;-20,0;стаб.
Республика Коми;8.0;стаб.;1.0;-75,0;7.0;-12,5;12,5
Архангельская область;3.0;-50,0;0.0;-100,0;4.0;-33,3;стаб.
Вологодская область;13.0;18,2;0.0;-100,0;15.0;25,0;стаб.
Калининградская область;15.0;66,7;2.0;100,0;16.0;77,8;11,1
Ленинградская область;17.0;21,4;2.0;-33,3;20.0;5,3;9,1
гор. Санкт-Петербург;43.0;-8,5;0.0;-100,0;47.0;-13,0;стаб.
Мурманская область;5.0;-28,6;0.0;-100,0;5.0;-37,5;стаб.
Новгородская область;5.0;25,0;0.0;-100,0;5.0;25,0;стаб.
Псковская область;7.0;-12,5;2.0;100,0;6.0;-33,3;25,0
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;143.0;-5,9;16.0;стаб.;172.0;-13,1;8,5
Республика Адыгея (Адыгея);4.0;-20,0;0.0;-100,0;6.0;100,0;стаб.
Республика Калмыкия;6.0;20,0;0.0;-100,0;7.0;40,0;стаб.
Республика Крым;12.0;20,0;1.0;стаб.;16.0;6,7;5,9
Краснодарский край;53.0;-10,2;8.0;60,0;68.0;-2,9;10,5
Астраханская область;8.0;-20,0;1.0;100,0;10.0;-23,1;9,1
Волгоградская область;21.0;-25,0;1.0;100,0;25.0;-21,9;3,8
Ростовская область;34.0;13,3;5.0;стаб.;35.0;-34,0;12,5
гор. Севастополь;5.0;стаб.;0.0;-100,0;5.0;-28,6;стаб.
Северо-Кавказский федеральный округ;62.0;14,8;6.0;стаб.;82.0;12,3;6,8
Республика Дагестан;20.0;66,7;3.0;стаб.;26.0;73,3;10,3
Республика Ингушетия;2.0;стаб.;0.0;-100,0;3.0;50,0;стаб.
Кабардино-Балкарская Республика;9.0;12,5;1.0;стаб.;11.0;-21,4;8,3
Карачаево-Черкесская Республика;2.0;-33,3;0.0;-100,0;6.0;100,0;стаб.
Республика Северная Осетия-Алания;6.0;-25,0;0.0;-100,0;6.0;-45,5;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;23.0;9,5;2.0;100,0;30.0;7,1;6,3
Приволжский федеральный округ;241.0;-11,1;26.0;4,0;293.0;-10,9;8,2
Республика Башкортостан;41.0;20,6;5.0;400,0;45.0;18,4;10,0
Республика Марий Эл;2.0;-71,4;0.0;-100,0;2.0;-80,0;стаб.
Республика Мордовия;3.0;-50,0;1.0;стаб.;4.0;-71,4;20,0
Республика Татарстан (Татарстан);23.0;-37,8;0.0;-100,0;32.0;-23,8;стаб.
Удмуртская Республика;15.0;87,5;3.0;100,0;18.0;100,0;14,3
Чувашская Республика - Чувашия;3.0;-62,5;0.0;-100,0;3.0;-62,5;стаб.
Пермский край;19.0;5,6;4.0;300,0;25.0;19,0;13,8
Кировская область;8.0;-42,9;0.0;-100,0;8.0;-42,9;стаб.
Нижегородская область;41.0;10,8;5.0;25,0;45.0;-8,2;10,0
Оренбургская область;6.0;-50,0;0.0;-100,0;10.0;-37,5;стаб.
Пензенская область;14.0;-12,5;1.0;стаб.;26.0;23,8;3,7
Самарская область;34.0;17,2;4.0;100,0;43.0;30,3;8,5
Саратовская область;21.0;-27,6;2.0;-50,0;20.0;-41,2;9,1
Ульяновская область;11.0;-31,3;1.0;стаб.;12.0;-40,0;7,7
Уральский федеральный округ;95.0;-18,8;10.0;400,0;110.0;-25,7;8,3
Курганская область;3.0;-25,0;2.0;100,0;2.0;-71,4;50,0
Свердловская область;32.0;6,7;4.0;100,0;35.0;-5,4;10,3
Тюменская область;24.0;-38,5;1.0;100,0;32.0;-31,9;3,0
Челябинская область;32.0;3,2;1.0;100,0;39.0;2,6;2,5
Ханты-Мансийский автономный округ - Югра;3.0;-70,0;1.0;100,0;2.0;-87,5;33,3
Ямало-Ненецкий автономный округ;1.0;-66,7;1.0;100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;132.0;3,9;8.0;-20,0;161.0;1,3;4,7
Республика Алтай;1.0;-66,7;0.0;-100,0;2.0;-66,7;стаб.
Республика Тыва;2.0;-80,0;0.0;-100,0;2.0;-84,6;стаб.
Республика Хакасия;3.0;50,0;0.0;-100,0;5.0;66,7;стаб.
Алтайский край;23.0;64,3;1.0;100,0;23.0;21,1;4,2
Красноярский край;35.0;84,2;4.0;100,0;43.0;72,0;8,5
Иркутская область;8.0;-69,2;1.0;-85,7;13.0;-63,9;7,1
