произошедшие с 15 по 16 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;597.0;4,2;56.0;30,2;708.0;-3,3;7,3
Центральный федеральный округ;154.0;4,8;15.0;150,0;180.0;4,7;7,7
Белгородская область;3.0;50,0;2.0;100,0;2.0;-60,0;50,0
Брянская область;3.0;200,0;2.0;100,0;4.0;300,0;33,3
Владимирская область;14.0;40,0;2.0;100,0;16.0;23,1;11,1
Воронежская область;12.0;20,0;2.0;100,0;18.0;80,0;10,0
Ивановская область;4.0;-20,0;0.0;-100,0;5.0;-16,7;стаб.
Калужская область;4.0;300,0;0.0;-100,0;7.0;600,0;стаб.
Костромская область;4.0;-20,0;0.0;-100,0;6.0;20,0;стаб.
Курская область;2.0;-50,0;1.0;100,0;1.0;-75,0;50,0
Липецкая область;7.0;16,7;0.0;-100,0;8.0;-20,0;стаб.
гор. Москва;60.0;15,4;1.0;стаб.;67.0;13,6;1,5
Московская область;19.0;35,7;3.0;стаб.;21.0;16,7;12,5
Орловская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Рязанская область;4.0;стаб.;0.0;-100,0;4.0;-20,0;стаб.
Смоленская область;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Тамбовская область;4.0;-33,3;0.0;-100,0;6.0;-25,0;стаб.
Тверская область;5.0;-44,4;1.0;100,0;6.0;-40,0;14,3
Тульская область;4.0;-42,9;1.0;100,0;4.0;-42,9;20,0
Ярославская область;3.0;50,0;0.0;-100,0;3.0;200,0;стаб.
Северо-Западный федеральный округ;51.0;18,6;1.0;-80,0;59.0;18,0;1,7
Республика Карелия;1.0;-50,0;0.0;-100,0;1.0;стаб.;стаб.
Республика Коми;1.0;стаб.;0.0;-100,0;1.0;-50,0;стаб.
Архангельская область;3.0;стаб.;0.0;-100,0;3.0;стаб.;стаб.
Вологодская область;7.0;-12,5;0.0;-100,0;8.0;-20,0;стаб.
Калининградская область;6.0;200,0;0.0;-100,0;7.0;250,0;стаб.
Ленинградская область;8.0;100,0;0.0;-100,0;11.0;175,0;стаб.
гор. Санкт-Петербург;20.0;стаб.;1.0;-50,0;23.0;-11,5;4,2
Мурманская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Новгородская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Псковская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;68.0;4,6;5.0;-16,7;85.0;6,3;5,6
Республика Адыгея (Адыгея);2.0;100,0;1.0;100,0;2.0;100,0;33,3
Республика Калмыкия;4.0;100,0;0.0;-100,0;8.0;300,0;стаб.
Республика Крым;2.0;-83,3;0.0;-100,0;2.0;-86,7;стаб.
Краснодарский край;25.0;13,6;3.0;200,0;27.0;-10,0;10,0
