произошедшие с 21 по 22 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;468.0;-8,9;73.0;9,0;552.0;-11,4;11,7
Центральный федеральный округ;110.0;-20,9;18.0;38,5;129.0;-26,3;12,2
Белгородская область;4.0;100,0;1.0;100,0;5.0;стаб.;16,7
Брянская область;1.0;стаб.;0.0;-100,0;1.0;-50,0;стаб.
Владимирская область;3.0;-76,9;1.0;-75,0;2.0;-85,7;33,3
Воронежская область;8.0;стаб.;0.0;-100,0;9.0;-18,2;стаб.
Ивановская область;5.0;стаб.;0.0;-100,0;9.0;28,6;стаб.
Калужская область;4.0;33,3;0.0;-100,0;5.0;66,7;стаб.
Костромская область;4.0;стаб.;2.0;100,0;3.0;-40,0;40,0
Курская область;2.0;100,0;0.0;-100,0;3.0;-25,0;стаб.
Липецкая область;5.0;стаб.;2.0;100,0;7.0;40,0;22,2
гор. Москва;38.0;-2,6;2.0;100,0;45.0;-6,3;4,3
Московская область;15.0;-34,8;3.0;-25,0;16.0;-30,4;15,8
Орловская область;1.0;-66,7;0.0;-100,0;1.0;-80,0;стаб.
Рязанская область;4.0;-50,0;1.0;100,0;3.0;-66,7;25,0
Смоленская область;2.0;-50,0;1.0;стаб.;4.0;33,3;20,0
Тамбовская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Тверская область;4.0;-42,9;2.0;100,0;6.0;-45,5;25,0
Тульская область;6.0;-25,0;2.0;100,0;7.0;-53,3;22,2
Ярославская область;2.0;-50,0;1.0;100,0;1.0;-80,0;50,0
Северо-Западный федеральный округ;36.0;-23,4;2.0;-60,0;41.0;-24,1;4,7
Республика Карелия;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Республика Коми;2.0;-33,3;1.0;стаб.;1.0;-83,3;50,0
Архангельская область;1.0;-66,7;0.0;-100,0;1.0;-66,7;стаб.
Вологодская область;8.0;14,3;0.0;-100,0;13.0;85,7;стаб.
