  водителями-мужчинами, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;6699.0;0,5;773.0;13,0;8376.0;-4,1;8,4
Центральный федеральный округ;1760.0;2,5;190.0;0,5;2184.0;3,0;8,0
Белгородская область;68.0;41,7;17.0;325,0;82.0;26,2;17,2
Брянская область;20.0;-28,6;6.0;стаб.;22.0;-38,9;21,4
Владимирская область;80.0;-18,4;9.0;-40,0;112.0;-20,6;7,4
Воронежская область;130.0;4,0;20.0;11,1;168.0;12,0;10,6
Ивановская область;57.0;67,6;2.0;-50,0;74.0;57,4;2,6
Калужская область;50.0;16,3;2.0;100,0;68.0;28,3;2,9
Костромская область;49.0;19,5;4.0;-20,0;66.0;32,0;5,7
Курская область;69.0;15,0;9.0;28,6;102.0;21,4;8,1
Липецкая область;65.0;-1,5;9.0;800,0;83.0;-12,6;9,8
гор. Москва;510.0;-3,4;18.0;-35,7;576.0;-0,2;3,0
Московская область;216.0;-5,3;30.0;-44,4;256.0;-2,7;10,5
Орловская область;31.0;-3,1;3.0;-25,0;43.0;4,9;6,5
Рязанская область;82.0;9,3;18.0;157,1;121.0;31,5;12,9
Смоленская область;40.0;-14,9;7.0;16,7;53.0;-10,2;11,7
Тамбовская область;60.0;-7,7;9.0;12,5;75.0;-23,5;10,7
Тверская область;82.0;28,1;9.0;80,0;96.0;21,5;8,6
Тульская область;84.0;1,2;11.0;10,0;99.0;-23,8;10,0
Ярославская область;67.0;28,8;7.0;16,7;88.0;46,7;7,4
Северо-Западный федеральный округ;566.0;4,8;55.0;34,1;670.0;2,3;7,6
Республика Карелия;22.0;-24,1;4.0;100,0;28.0;-20,0;12,5
Республика Коми;30.0;-11,8;1.0;-80,0;42.0;-2,3;2,3
Архангельская область;23.0;-25,8;4.0;100,0;25.0;-32,4;13,8
Вологодская область;67.0;стаб.;9.0;80,0;88.0;12,8;9,3
Калининградская область;59.0;55,3;8.0;166,7;63.0;57,5;11,3
Ленинградская область;85.0;2,4;15.0;25,0;107.0;3,9;12,3
гор. Санкт-Петербург;172.0;-9,0;6.0;-14,3;186.0;-14,7;3,1
Мурманская область;25.0;13,6;0.0;-100,0;40.0;21,2;стаб.
Новгородская область;38.0;26,7;4.0;-33,3;39.0;-4,9;9,3
Псковская область;40.0;135,3;4.0;300,0;46.0;70,4;8,0
Ненецкий автономный округ;5.0;100,0;0.0;-100,0;6.0;100,0;стаб.
Южный федеральный округ;834.0;4,9;122.0;37,1;1058.0;1,3;10,3
Республика Адыгея (Адыгея);30.0;7,1;7.0;75,0;31.0;стаб.;18,4
Республика Калмыкия;42.0;61,5;4.0;-50,0;58.0;41,5;6,5
Республика Крым;53.0;-32,9;9.0;-35,7;73.0;-33,6;11,0
Краснодарский край;345.0;7,8;49.0;53,1;426.0;4,9;10,3
Астраханская область;48.0;17,1;3.0;-25,0;60.0;стаб.;4,8
Волгоградская область;121.0;-17,7;13.0;116,7;168.0;-15,2;7,2
Ростовская область;158.0;18,8;34.0;78,9;188.0;9,9;15,3
гор. Севастополь;37.0;76,2;3.0;50,0;54.0;100,0;5,3
Северо-Кавказский федеральный округ;402.0;7,5;65.0;12,1;527.0;-0,2;11,0
Республика Дагестан;118.0;4,4;23.0;53,3;180.0;1,7;11,3
Республика Ингушетия;20.0;11,1;6.0;стаб.;36.0;38,5;14,3
Кабардино-Балкарская Республика;42.0;110,0;4.0;100,0;54.0;100,0;6,9
Карачаево-Черкесская Республика;20.0;-4,8;6.0;500,0;24.0;9,1;20,0
Республика Северная Осетия-Алания;47.0;-17,5;3.0;-62,5;56.0;-39,8;5,1
Чеченская Республика;12.0;100,0;6.0;50,0;13.0;85,7;31,6
Ставропольский край;143.0;2,9;17.0;-22,7;164.0;-6,8;9,4
Приволжский федеральный округ;1316.0;-10,5;165.0;29,9;1672.0;-15,9;9,0
Республика Башкортостан;165.0;-14,1;28.0;100,0;193.0;-22,8;12,7
Республика Марий Эл;29.0;-9,4;2.0;-66,7;37.0;-21,3;5,1
Республика Мордовия;31.0;-31,1;6.0;100,0;36.0;-43,8;14,3
Республика Татарстан (Татарстан);139.0;-30,8;18.0;80,0;164.0;-32,8;9,9
Удмуртская Республика;89.0;85,4;11.0;175,0;104.0;79,3;9,6
Чувашская Республика - Чувашия;41.0;-12,8;6.0;20,0;57.0;-3,4;9,5
Пермский край;100.0;3,1;13.0;18,2;124.0;-1,6;9,5
Кировская область;76.0;-1,3;5.0;стаб.;95.0;-25,8;5,0
Нижегородская область;210.0;-15,0;16.0;33,3;255.0;-21,1;5,9
Оренбургская область;65.0;-1,5;9.0;-25,0;84.0;-20,8;9,7
Пензенская область;90.0;25,0;7.0;стаб.;118.0;29,7;5,6
Самарская область;123.0;-10,9;14.0;-6,7;180.0;-6,3;7,2
Саратовская область;115.0;-25,3;23.0;15,0;161.0;-28,1;12,5
Ульяновская область;43.0;-20,4;7.0;133,3;64.0;-16,9;9,9
Уральский федеральный округ;536.0;-8,5;41.0;-18,0;664.0;-16,4;5,8
Курганская область;35.0;-25,5;4.0;стаб.;37.0;-50,0;9,8
Свердловская область;148.0;-1,3;16.0;-23,8;177.0;-13,7;8,3
Тюменская область;141.0;-4,7;9.0;800,0;179.0;-10,9;4,8
Челябинская область;167.0;-6,2;9.0;-47,1;209.0;-6,7;4,1
Ханты-Мансийский автономный округ - Югра;32.0;-30,4;2.0;100,0;49.0;-31,0;3,9
Ямало-Ненецкий автономный округ;13.0;-23,5;1.0;-85,7;13.0;-31,6;7,1
Сибирский федеральный округ;809.0;11,6;82.0;36,7;992.0;-0,8;7,6
Республика Алтай;22.0;57,1;2.0;100,0;30.0;20,0;6,3
Республика Тыва;31.0;-11,4;4.0;стаб.;49.0;-23,4;7,5
Республика Хакасия;24.0;стаб.;1.0;-66,7;35.0;стаб.;2,8
Алтайский край;145.0;62,9;7.0;16,7;180.0;44,0;3,7
Красноярский край;166.0;22,1;18.0;125,0;184.0;6,4;8,9
Иркутская область;91.0;-20,2;14.0;27,3;103.0;-36,8;12,0
Кемеровская область - Кузбасс;116.0;24,7;16.0;166,7;146.0;14,1;9,9
Новосибирская область;109.0;16,0;13.0;стаб.;139.0;17,8;8,6
Омская область;91.0;-18,0;3.0;-62,5;111.0;-27,5;2,6
Томская область;14.0;-6,7;4.0;300,0;15.0;-6,3;21,1
Дальневосточный федеральный округ;476.0;4,6;53.0;-24,3;609.0;2,4;8,0
Республика Бурятия;57.0;32,6;7.0;16,7;67.0;24,1;9,5
