со стажем управления до 2 лет, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;519.0;-4,1;46.0;2,2;703.0;-6,0;6,1
Центральный федеральный округ;109.0;-14,2;10.0;-28,6;131.0;-22,9;7,1
Белгородская область;3.0;-50,0;0.0;-100,0;6.0;-45,5;стаб.
Брянская область;1.0;-50,0;0.0;-100,0;2.0;стаб.;стаб.
Владимирская область;4.0;-50,0;0.0;-100,0;4.0;-63,6;стаб.
Воронежская область;12.0;33,3;2.0;-33,3;12.0;9,1;14,3
Ивановская область;4.0;33,3;0.0;-100,0;5.0;стаб.;стаб.
Калужская область;6.0;50,0;0.0;-100,0;9.0;80,0;стаб.
Костромская область;2.0;-75,0;0.0;-100,0;2.0;-80,0;стаб.
Курская область;7.0;250,0;1.0;100,0;8.0;60,0;11,1
Липецкая область;7.0;133,3;1.0;100,0;9.0;200,0;10,0
гор. Москва;22.0;-46,3;2.0;-50,0;27.0;-38,6;6,9
Московская область;18.0;12,5;3.0;стаб.;16.0;-33,3;15,8
Орловская область;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Рязанская область;4.0;-20,0;0.0;-100,0;4.0;-60,0;стаб.
Смоленская область;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Тамбовская область;6.0;-14,3;1.0;стаб.;10.0;-9,1;9,1
Тверская область;4.0;-20,0;0.0;-100,0;6.0;-14,3;стаб.
Тульская область;3.0;50,0;0.0;-100,0;3.0;50,0;стаб.
Ярославская область;3.0;50,0;0.0;-100,0;5.0;стаб.;стаб.
Северо-Западный федеральный округ;55.0;25,0;5.0;66,7;63.0;14,5;7,4
Республика Карелия;1.0;-75,0;0.0;-100,0;1.0;-75,0;стаб.
Республика Коми;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Архангельская область;4.0;-20,0;1.0;100,0;3.0;-50,0;25,0
Вологодская область;7.0;40,0;0.0;-100,0;9.0;стаб.;стаб.
Калининградская область;13.0;160,0;3.0;100,0;12.0;140,0;20,0
Ленинградская область;9.0;50,0;1.0;стаб.;11.0;22,2;8,3
гор. Санкт-Петербург;9.0;-35,7;0.0;-100,0;11.0;-26,7;стаб.
Мурманская область;4.0;100,0;0.0;-100,0;8.0;166,7;стаб.
Новгородская область;5.0;150,0;0.0;-100,0;5.0;66,7;стаб.
Псковская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;70.0;4,5;11.0;120,0;99.0;11,2;10,0
Республика Адыгея (Адыгея);4.0;300,0;2.0;100,0;3.0;200,0;40,0
Республика Калмыкия;3.0;200,0;0.0;-100,0;5.0;400,0;стаб.
Республика Крым;4.0;-50,0;0.0;-100,0;8.0;-33,3;стаб.
Краснодарский край;28.0;-3,4;6.0;100,0;33.0;-13,2;15,4
Астраханская область;6.0;-14,3;0.0;-100,0;10.0;11,1;стаб.
Волгоградская область;9.0;28,6;1.0;100,0;12.0;50,0;7,7
Ростовская область;12.0;стаб.;1.0;100,0;21.0;23,5;4,5
гор. Севастополь;4.0;100,0;1.0;100,0;7.0;133,3;12,5
Северо-Кавказский федеральный округ;43.0;-14,0;2.0;-83,3;58.0;-26,6;3,3
Республика Дагестан;9.0;-50,0;0.0;-100,0;15.0;-51,6;стаб.
Республика Ингушетия;1.0;-50,0;1.0;стаб.;0.0;-100,0;стаб.
Кабардино-Балкарская Республика;8.0;700,0;0.0;-100,0;12.0;1100,0;стаб.
Карачаево-Черкесская Республика;3.0;-40,0;1.0;стаб.;4.0;-33,3;20,0
Республика Северная Осетия-Алания;8.0;14,3;0.0;-100,0;8.0;-42,9;стаб.
Чеченская Республика;1.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Ставропольский край;13.0;-23,5;0.0;-100,0;16.0;-30,4;стаб.
Приволжский федеральный округ;104.0;6,1;8.0;60,0;147.0;2,1;5,2
Республика Башкортостан;8.0;-46,7;0.0;-100,0;9.0;-62,5;стаб.
Республика Марий Эл;8.0;100,0;1.0;-50,0;9.0;28,6;10,0
Республика Мордовия;3.0;200,0;0.0;-100,0;4.0;-20,0;стаб.
Республика Татарстан (Татарстан);9.0;-30,8;2.0;100,0;10.0;-37,5;16,7
Удмуртская Республика;5.0;25,0;1.0;стаб.;8.0;166,7;11,1
Чувашская Республика - Чувашия;1.0;стаб.;1.0;100,0;2.0;100,0;33,3
Пермский край;4.0;-20,0;1.0;100,0;7.0;стаб.;12,5
Кировская область;9.0;28,6;0.0;-100,0;14.0;40,0;стаб.
Нижегородская область;13.0;18,2;0.0;-100,0;17.0;21,4;стаб.
Оренбургская область;5.0;150,0;1.0;100,0;6.0;50,0;14,3
Пензенская область;9.0;-10,0;0.0;-100,0;15.0;-11,8;стаб.
Самарская область;15.0;36,4;1.0;100,0;28.0;64,7;3,4
Саратовская область;11.0;10,0;0.0;-100,0;13.0;8,3;стаб.
Ульяновская область;4.0;стаб.;0.0;-100,0;5.0;-28,6;стаб.
Уральский федеральный округ;39.0;-40,0;2.0;100,0;45.0;-49,4;4,3
Курганская область;2.0;-60,0;0.0;-100,0;2.0;-66,7;стаб.
Свердловская область;10.0;-23,1;0.0;-100,0;13.0;-31,6;стаб.
Тюменская область;8.0;-42,9;0.0;-100,0;9.0;-35,7;стаб.
Челябинская область;17.0;-32,0;2.0;100,0;19.0;-53,7;9,5
Ханты-Мансийский автономный округ - Югра;1.0;-85,7;0.0;-100,0;1.0;-87,5;стаб.
