со стажем управления от 20 до 25 лет (дейст. с 01.01.2022 г.), апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;757.0;-12,3;79.0;21,5;968.0;-11,1;7,5
Центральный федеральный округ;198.0;-9,2;24.0;50,0;251.0;-8,1;8,7
Белгородская область;15.0;150,0;5.0;100,0;15.0;66,7;25,0
Брянская область;1.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
Владимирская область;6.0;-45,5;0.0;-100,0;8.0;-50,0;стаб.
Воронежская область;9.0;-18,2;1.0;-50,0;16.0;14,3;5,9
Ивановская область;5.0;стаб.;0.0;-100,0;6.0;-33,3;стаб.
Калужская область;6.0;20,0;0.0;-100,0;9.0;50,0;стаб.
Костромская область;2.0;-50,0;0.0;-100,0;4.0;-55,6;стаб.
Курская область;5.0;-37,5;0.0;-100,0;11.0;22,2;стаб.
Липецкая область;8.0;33,3;2.0;100,0;13.0;62,5;13,3
гор. Москва;52.0;-27,8;3.0;50,0;59.0;-28,0;4,8
Московская область;34.0;3,0;6.0;20,0;45.0;28,6;11,8
Орловская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Рязанская область;15.0;15,4;2.0;100,0;15.0;-6,3;11,8
Смоленская область;8.0;33,3;2.0;100,0;8.0;14,3;20,0
Тамбовская область;6.0;20,0;0.0;-100,0;8.0;33,3;стаб.
Тверская область;6.0;-33,3;0.0;-100,0;6.0;-45,5;стаб.
Тульская область;14.0;стаб.;2.0;100,0;21.0;-12,5;8,7
Ярославская область;5.0;-37,5;1.0;100,0;4.0;-60,0;20,0
Северо-Западный федеральный округ;70.0;стаб.;5.0;150,0;94.0;10,6;5,1
Республика Карелия;5.0;66,7;0.0;-100,0;9.0;200,0;стаб.
Республика Коми;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Архангельская область;2.0;стаб.;1.0;100,0;4.0;100,0;20,0
Вологодская область;16.0;100,0;0.0;-100,0;20.0;81,8;стаб.
Калининградская область;4.0;-33,3;2.0;100,0;3.0;-50,0;40,0
Ленинградская область;12.0;50,0;2.0;100,0;17.0;41,7;10,5
гор. Санкт-Петербург;18.0;-30,8;0.0;-100,0;23.0;-23,3;стаб.
Мурманская область;2.0;-66,7;0.0;-100,0;6.0;-40,0;стаб.
Новгородская область;6.0;стаб.;0.0;-100,0;7.0;стаб.;стаб.
Псковская область;2.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
