со стажем управления от 5 до 10 лет, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;947.0;-18,8;96.0;-15,8;1215.0;-21,6;7,3
Центральный федеральный округ;251.0;-14,3;25.0;-44,4;313.0;-13,8;7,4
Белгородская область;14.0;180,0;4.0;100,0;16.0;128,6;20,0
Брянская область;2.0;-71,4;0.0;-100,0;3.0;-72,7;стаб.
Владимирская область;9.0;-43,8;0.0;-100,0;11.0;-57,7;стаб.
Воронежская область;13.0;-45,8;2.0;-33,3;13.0;-53,6;13,3
Ивановская область;6.0;стаб.;1.0;стаб.;6.0;стаб.;14,3
Калужская область;7.0;40,0;1.0;стаб.;6.0;-14,3;14,3
Костромская область;10.0;66,7;1.0;100,0;11.0;22,2;8,3
Курская область;10.0;стаб.;3.0;100,0;13.0;8,3;18,8
Липецкая область;3.0;-70,0;0.0;-100,0;5.0;-50,0;стаб.
гор. Москва;78.0;-9,3;0.0;-100,0;95.0;1,1;стаб.
Московская область;42.0;2,4;6.0;-57,1;53.0;8,2;10,2
Орловская область;7.0;-22,2;2.0;100,0;9.0;-18,2;18,2
Рязанская область;11.0;-31,3;0.0;-100,0;17.0;-22,7;стаб.
Смоленская область;4.0;-33,3;1.0;стаб.;11.0;57,1;8,3
Тамбовская область;6.0;-62,5;0.0;-100,0;7.0;-70,8;стаб.
Тверская область;13.0;62,5;3.0;100,0;19.0;72,7;13,6
Тульская область;9.0;-43,8;0.0;-100,0;10.0;-52,4;стаб.
Ярославская область;7.0;16,7;1.0;100,0;8.0;стаб.;11,1
Северо-Западный федеральный округ;70.0;-34,0;3.0;-76,9;86.0;-29,5;3,4
Республика Карелия;2.0;стаб.;0.0;-100,0;3.0;стаб.;стаб.
Республика Коми;6.0;20,0;0.0;-100,0;14.0;250,0;стаб.
Архангельская область;1.0;-83,3;0.0;-100,0;1.0;-85,7;стаб.
Вологодская область;8.0;-38,5;1.0;-50,0;7.0;-46,2;12,5
Калининградская область;5.0;25,0;0.0;-100,0;7.0;40,0;стаб.
Ленинградская область;8.0;-57,9;2.0;-33,3;10.0;-52,4;16,7
гор. Санкт-Петербург;30.0;-31,8;0.0;-100,0;32.0;-40,7;стаб.
Мурманская область;4.0;стаб.;0.0;-100,0;6.0;20,0;стаб.
Новгородская область;3.0;-40,0;0.0;-100,0;3.0;-50,0;стаб.
Псковская область;3.0;-25,0;0.0;-100,0;3.0;-25,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;126.0;-15,4;8.0;-38,5;168.0;-15,6;4,5
Республика Адыгея (Адыгея);6.0;50,0;0.0;-100,0;7.0;75,0;стаб.
Республика Калмыкия;6.0;20,0;0.0;-100,0;8.0;14,3;стаб.
Республика Крым;11.0;-31,3;1.0;-75,0;17.0;6,3;5,6
Краснодарский край;51.0;-17,7;4.0;стаб.;65.0;-27,0;5,8
Астраханская область;8.0;-20,0;0.0;-100,0;13.0;-23,5;стаб.
Волгоградская область;20.0;-20,0;1.0;100,0;22.0;-35,3;4,3
Ростовская область;17.0;-15,0;2.0;-33,3;23.0;15,0;8,0
гор. Севастополь;7.0;стаб.;0.0;-100,0;13.0;8,3;стаб.
Северо-Кавказский федеральный округ;61.0;-12,9;13.0;62,5;83.0;-8,8;13,5
Республика Дагестан;24.0;стаб.;5.0;150,0;41.0;32,3;10,9
Республика Ингушетия;1.0;-50,0;0.0;-100,0;2.0;100,0;стаб.
Кабардино-Балкарская Республика;9.0;стаб.;3.0;100,0;7.0;-22,2;30,0
Карачаево-Черкесская Республика;2.0;стаб.;0.0;-100,0;4.0;100,0;стаб.
Республика Северная Осетия-Алания;8.0;стаб.;1.0;100,0;10.0;-23,1;9,1
Чеченская Республика;3.0;100,0;1.0;100,0;2.0;100,0;33,3
Ставропольский край;14.0;-44,0;3.0;-40,0;17.0;-51,4;15,0
